id;is_payment_enabled;amount;payment_method;currency;intent;note_to_payer;payment_gateway_provider;payment_gateway_credentials
1;true;22139;monitor;Tactics Michigan;SCSI USB;e-markets Botswana Rustic;definition Central African Republic Managed;Cheese Small Fresh Fish Zimbabwe
2;true;15165;Comoro Franc Square bluetooth;invoice Haiti Concrete;methodical Synergized Missouri;Universal;Savings Account interactive Operations;visionary
3;true;59833;Niue;microchip Practical;Analyst ADP networks;Louisiana enhance Wooden;Principal;Solomon Islands Russian Federation
4;false;36603;Grocery Computer Identity;Frozen Metal;Washington Berkshire payment;green;cohesive Greece;Bond Markets Units European Composite Unit (EURCO)
5;true;91604;Fresh Nepalese Rupee Table;Ball Graphic Interface Mexico;XSS Handmade Rubber Mouse;Customer clear-thinking;synergize Generic Frozen Cheese;Overpass
6;true;36644;panel Human Equatorial Guinea;Shirt recontextualize Dynamic;Money Market Account Integration Ergonomic;Grocery Plastic;fuchsia invoice;Marketing
7;true;87625;virtual;Swiss Franc Communications;optical Investor;encoding haptic Highway;hack bypassing Global;Mouse
8;false;3435;Andorra;programming auxiliary;infrastructures Cambridgeshire;Technician;challenge;Rubber
9;true;66062;Markets;initiatives Sharable redundant;Idaho Rubber;Cheese;open-source;Operative
10;false;27755;Response Tuna Auto Loan Account;Lake Supervisor Kids;Solutions Dynamic;Enhanced;Mountain transmitting;compelling cyan
